"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"88","부산광역시 기장군 기장읍 교리","343-1","0343","0001","가화만사성","53.4307","202204","20","15,500","-","3","-","-","2004","차성동로 167-10","-","중개거래","부산 기장군","-"
"89","부산광역시 기장군 기장읍 교리","268","0268","0000","부전타워","59.3800","202204","19","12,300","-","1","-","-","1994","차성로436번길 19","-","중개거래","부산 기장군","-"
"90","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","59.7500","202204","14","17,350","-","2","-","-","1995","차성로441번길 7","-","중개거래","부산 기장군","-"
"91","부산광역시 기장군 기장읍 교리","268","0268","0000","부전타워","59.3800","202204","11","14,000","-","8","-","-","1994","차성로436번길 19","-","중개거래","부산 기장군","-"
"92","부산광역시 기장군 기장읍 교리","343-1","0343","0001","가화만사성","53.4307","202204","11","17,200","-","10","-","-","2004","차성동로 167-10","-","중개거래","부산 기장군","-"
"93","부산광역시 기장군 기장읍 교리","2","0002","0000","이진캐스빌블루1차","84.9753","202204","08","49,700","-","23","-","-","2011","차성로 461","20220930","중개거래","부산 기장군","-"
"94","부산광역시 기장군 기장읍 교리","268","0268","0000","부전타워","59.3800","202204","05","13,900","-","9","-","-","1994","차성로436번길 19","-","직거래","-","-"
"95","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","84.9750","202203","30","25,500","-","20","-","-","1995","차성로441번길 7","-","중개거래","부산 기장군","-"
"96","부산광역시 기장군 기장읍 교리","268","0268","0000","부전타워","59.3800","202203","29","14,000","-","7","-","-","1994","차성로436번길 19","-","중개거래","부산 기장군","-"
"97","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","84.9750","202203","28","26,000","-","13","-","-","1995","차성로441번길 7","-","중개거래","부산 기장군","-"
"98","부산광역시 기장군 기장읍 교리","268","0268","0000","부전타워","83.3600","202203","26","17,650","-","1","-","-","1992","차성로436번길 28","-","중개거래","부산 기장군","-"
"99","부산광역시 기장군 기장읍 교리","343-1","0343","0001","가화만사성","53.4307","202203","24","16,800","-","6","-","-","2004","차성동로 167-10","-","중개거래","부산 기장군","-"
"100","부산광역시 기장군 기장읍 교리","2","0002","0000","이진캐스빌블루1차","84.9005","202203","24","46,800","-","15","-","-","2011","차성로 461","-","중개거래","부산 기장군","-"
"101","부산광역시 기장군 기장읍 교리","268","0268","0000","부전타워","59.3800","202203","23","12,450","-","4","-","-","1994","차성로436번길 19","-","중개거래","부산 기장군","-"
"102","부산광역시 기장군 기장읍 교리","65","0065","0000","문화그린맨션","59.9100","202203","23","12,800","-","9","-","-","1993","차성로417번길 21","-","중개거래","부산 기장군","-"
"103","부산광역시 기장군 기장읍 교리","336-10","0336","0010","욱일","68.0300","202203","18","9,500","-","4","-","-","1998","차성로412번길 37","-","중개거래","부산 기장군","-"
"104","부산광역시 기장군 기장읍 교리","65","0065","0000","문화그린맨션","59.9100","202203","17","13,250","-","11","-","-","1993","차성로417번길 21","-","중개거래","부산 기장군","-"
"105","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","59.7500","202203","10","16,700","-","5","-","-","1995","차성로441번길 7","-","중개거래","부산 기장군","-"
"106","부산광역시 기장군 기장읍 교리","343-1","0343","0001","가화만사성","59.9869","202203","07","19,800","-","12","-","-","2004","차성동로 167-10","-","중개거래","부산 기장군","-"
"107","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","59.7500","202203","05","17,400","-","14","-","-","1995","차성로441번길 7","20221130","중개거래","부산 기장군","-"
"108","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","59.7500","202203","05","17,400","-","14","-","-","1995","차성로441번길 7","20220628","중개거래","부산 기장군","-"
"109","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","59.7500","202203","05","16,500","-","3","-","-","1995","차성로441번길 7","-","중개거래","부산 기장군","-"
"110","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","84.9750","202203","04","25,000","-","10","-","-","1995","차성로441번길 7","-","중개거래","부산 기장군","-"
"111","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","59.7500","202203","04","17,200","-","18","-","-","1995","차성로441번길 7","-","중개거래","부산 기장군","-"
"112","부산광역시 기장군 기장읍 교리","367-1","0367","0001","이진캐스빌블루2차","68.6835","202203","04","33,000","-","2","-","-","2011","차성로 452","-","중개거래","부산 기장군","-"
"113","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","59.7500","202203","03","16,400","-","15","-","-","1995","차성로441번길 7","-","중개거래","부산 기장군","-"
"114","부산광역시 기장군 기장읍 교리","65","0065","0000","문화그린맨션","59.9100","202202","26","12,300","-","12","-","-","1993","차성로417번길 21","-","중개거래","부산 기장군","-"
"115","부산광역시 기장군 기장읍 교리","2","0002","0000","이진캐스빌블루1차","84.9005","202202","25","44,500","-","6","-","-","2011","차성로 461","-","중개거래","부산 기장군","-"
"116","부산광역시 기장군 기장읍 교리","14-5","0014","0005","태영","59.7500","202202","22","17,950","-","11","-","-","1995","차성로441번길 7","-","중개거래","부산 기장군","-"
"117","부산광역시 기장군 기장읍 교리","268","0268","0000","부전타워","83.3600","202202","21","20,000","-","14","-","-","1992","차성로436번길 28","-","중개거래","부산 기장군","-"
"118","부산광역시 기장군 기장읍 교리","2","0002","0000","이진캐스빌블루1차","84.9220","202202","20","45,000","-","19","-","-","2011","차성로 461","-","중개거래","부산 기장군","-"
"119","부산광역시 기장군 기장읍 교리","2","0002","0000","이진캐스빌블루1차","84.9005","202202","19","43,000","-","7","-","-","2011","차성로 461","-","중개거래","부산 기장군","-"
"120","부산광역시 기장군 기장읍 교리","268","0268","0000","부전타워","78.8300","202202","17","17,000","-","12","-","-","1992","차성동로172번길 15","-","중개거래","부산 기장군","-"
